"","Represented.Test.Veh.Make","Model","Vehicle.Type","HorsePower","Cylinders","Tested.Transmission.Type.Code","Tested.Transmission.Type","Gears","Drive.System.Code","Weight","AxleRatio","Test.Procedure.Cd","Test.Procedure.Description","Test.Fuel.Type.Cd","Test.Fuel.Type.Description","FuelEcon"
"33","BMW","430i xDrive Gran Coupe","Car",248,"4","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.2
"34","BMW","440i Convertible","Car",322,"6","SA","Semi-Automatic","8","R",4500,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",27.5
"35","BMW","440i Coupe","Car",322,"6","SA","Semi-Automatic","8","R",4000,2.81,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",27.7
"36","BMW","440i Coupe","Car",322,"6","M","Manual","6","R",4000,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",23.2
"37","BMW","440i Gran Coupe","Car",322,"6","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.6
"38","BMW","440i xDrive Convertible","Car",322,"6","SA","Semi-Automatic","8","R",4750,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",26.5
"39","BMW","440i xDrive Coupe","Car",322,"6","SA","Semi-Automatic","8","R",4250,2.81,"3","HWFE","61","Tier 2 Cert Gasoline",43.7
"40","BMW","440i xDrive Coupe","Car",322,"6","M","Manual","6","R",4000,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",22.7
"41","BMW","440i xDrive Gran Coupe","Car",322,"6","SA","Semi-Automatic","8","R",4250,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",27.5
"42","BMW","530e","Car",180,"4","SA","Semi-Automatic","8","R",4500,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",35.7
"43","BMW","530e xDrive","Car",180,"4","SA","Semi-Automatic","8","R",4750,3.23,"3","HWFE","61","Tier 2 Cert Gasoline",43.9
"44","BMW","530i","Car",248,"4","SA","Semi-Automatic","8","R",4000,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",31.7
"45","BMW","530i xDrive","Car",248,"4","SA","Semi-Automatic","8","R",4250,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.8
"46","BMW","540i","Car",335,"6","SA","Semi-Automatic","8","R",4250,2.93,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",25.8
"47","BMW","540i xDrive","Car",335,"6","SA","Semi-Automatic","8","R",4250,2.93,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",26.9
"48","BMW","640i Convertible","Car",300,"6","SA","Semi-Automatic","8","R",4500,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",26.1
"49","BMW","640i Convertible","Car",300,"6","SA","Semi-Automatic","8","R",4500,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",26.5
"50","BMW","640i xDrive Convertible","Car",300,"6","SA","Semi-Automatic","8","R",4750,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",24.7
"51","BMW","640i xDrive Convertible","Car",300,"6","SA","Semi-Automatic","8","R",4750,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",25.4
"52","BMW","640i xDrive Gran Turismo","Both",335,"6","SA","Semi-Automatic","8","R",4750,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",25
"53","BMW","650i Convertible","Car",448,"8","SA","Semi-Automatic","8","R",4750,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",22
"54","BMW","650i xDrive Convertible","Car",448,"8","SA","Semi-Automatic","8","R",5000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",19.4
"55","BMW","740e xDrive","Car",255,"4","SA","Semi-Automatic","8","R",5000,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",32.1
"56","BMW","740i","Car",320,"6","SA","Semi-Automatic","8","R",4500,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28
"57","BMW","740i xDrive","Car",320,"6","SA","Semi-Automatic","8","R",4750,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",24.8
"58","BMW","750i","Car",443,"8","SA","Semi-Automatic","8","R",4750,2.81,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",22.2
"59","BMW","750i xDrive","Car",443,"8","SA","Semi-Automatic","8","R",5000,2.81,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",21.7
"60","BMW","Alpina B7 xDrive","Car",600,"8","SA","Semi-Automatic","8","R",5000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",19.2
"61","BMW","M2","Both",365,"6","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)","7","R",3750,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",25.9
"62","BMW","M2","Both",365,"6","M","Manual","6","R",3750,3.08,"3","HWFE","61","Tier 2 Cert Gasoline",36
"63","BMW","M240i","Car",335,"6","SA","Semi-Automatic","8","R",3875,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.3
"64","BMW","M240i","Car",335,"6","M","Manual","6","R",3750,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",23.4
"65","BMW","M240i Convertible","Car",335,"6","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",27.4
"66","BMW","M240i Convertible","Car",335,"6","M","Manual","6","R",4000,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",23.3
"67","BMW","M240i xDrive","Car",335,"6","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",27.6
"68","BMW","M240i xDrive Convertible","Car",335,"6","SA","Semi-Automatic","8","R",4250,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",27.2
"69","BMW","M3","Car",425,"6","M","Manual","6","R",4000,3.46,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",20.6
"70","BMW","M3","Car",425,"6","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)","7","R",4000,3.46,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",18.4
"71","BMW","M4 Convertible","Car",425,"6","M","Manual","6","R",4500,3.46,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",20.1
"72","BMW","M4 Convertible","Car",425,"6","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)","7","R",4500,3.46,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",17.8
"73","BMW","M550i xDrive","Both",455,"8","SA","Semi-Automatic","8","A",4750,2.81,"3","HWFE","61","Tier 2 Cert Gasoline",35.2
"74","BMW","M6 Convertible","Car",553,"8","M","Manual","6","R",4750,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",17.9
"75","BMW","M6 Convertible","Car",553,"8","SA","Semi-Automatic","7","R",4750,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",19.8
"76","BMW","M760i xDrive","Car",601,"12","SA","Semi-Automatic","8","A",5500,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",16.7
"77","BMW","X1 sDrive28i","Car",228,"4","SA","Semi-Automatic","8","F",3875,3.2,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.7
"78","BMW","X1 xDrive28i","Car",228,"4","SA","Semi-Automatic","8","F",4000,3.2,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.9
"79","BMW","X4 M40i","Both",355,"6","SA","Semi-Automatic","8","A",4500,3.38,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",23.9
"81","BMW","X5 M","Truck",567,"8","SA","Semi-Automatic","8","A",5500,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",18
"82","BMW","X5 sDrive35i","Truck",300,"6","SA","Semi-Automatic","8","R",5000,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",23.8
"83","BMW","X5 xDrive35d","Truck",255,"6","SA","Semi-Automatic","8","R",5250,3.15,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur",41.9
"84","BMW","X5 xDrive35i","Truck",300,"6","SA","Semi-Automatic","8","R",5000,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",23.5
"85","BMW","X5 xDrive40e","Truck",240,"4","SA","Semi-Automatic","8","R",5500,3.15,"90","US06","61","Tier 2 Cert Gasoline",23.6
"86","BMW","X5 xDrive50i","Truck",443,"8","SA","Semi-Automatic","8","R",5500,3.15,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",17.7
"87","BMW","X5 xDrive50i","Truck",443,"8","SA","Semi-Automatic","8","R",5500,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",19.8
"88","BMW","X6 sDrive35i","Truck",300,"6","SA","Semi-Automatic","8","R",5000,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",23.7
"89","BMW","X6 xDrive 50i","Truck",443,"8","SA","Semi-Automatic","8","R",5500,3.15,"3","HWFE","61","Tier 2 Cert Gasoline",27.3
"90","BMW","X6 xDrive35i","Truck",300,"6","SA","Semi-Automatic","8","R",5000,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",23.5
"91","BMW","X6 xDrive50i","Truck",443,"8","SA","Semi-Automatic","8","R",5500,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",19.7
"92","Mini","JOHN COOPER WORKS COUNTRYMAN ALL4","Car",228,"4","SA","Semi-Automatic","8","A",4000,3.2,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.7
"93","Mini","JOHN COOPER WORKS COUNTRYMAN ALL4","Car",228,"4","M","Manual","6","A",3875,4.1,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",25.9
"94","Mini","Mini Cooper Clubman","Car",134,"3","SA","Semi-Automatic","6","F",3500,3.68,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",32.5
"95","Mini","Mini Cooper Clubman","Car",134,"3","M","Manual","6","F",3375,3.88,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",31.6
"96","Mini","Mini Cooper Clubman ALL4","Car",134,"3","SA","Semi-Automatic","8","F",3750,3.75,"3","HWFE","61","Tier 2 Cert Gasoline",43.5
"97","Mini","Mini Cooper Clubman ALL4","Car",134,"3","M","Manual","6","F",3625,4.06,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.1
"98","Mini","Mini Cooper Convertible","Car",134,"3","M","Manual","6","F",3125,3.42,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",34.9
"99","Mini","Mini Cooper Convertible","Car",134,"3","SA","Semi-Automatic","6","F",3250,3.68,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",34.9
"100","Mini","Mini Cooper Countryman","Car",134,"3","SA","Semi-Automatic","6","F",3625,4.1,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",31.9
"101","Mini","Mini Cooper Countryman","Car",134,"3","M","Manual","6","F",3625,4.12,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",31.3
"102","Mini","Mini Cooper Countryman ALL4","Car",134,"3","M","Manual","6","F",3750,4.06,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.8
"103","Mini","Mini Cooper Countryman ALL4","Car",134,"3","SA","Semi-Automatic","8","F",3875,3.75,"3","HWFE","61","Tier 2 Cert Gasoline",42.4
"104","Mini","MINI COOPER HARDTOP 2 DOOR","Car",134,"3","SA","Semi-Automatic","6","F",3000,3.68,"3","HWFE","61","Tier 2 Cert Gasoline",51
"105","Mini","MINI COOPER HARDTOP 2 DOOR","Car",134,"3","M","Manual","6","F",2875,3.42,"35","California fuel 3-day exhaust","61","Tier 2 Cert Gasoline",36.3
"106","Mini","MINI COOPER HARDTOP 4 DOOR","Car",134,"3","SA","Semi-Automatic","6","F",3125,3.68,"35","California fuel 3-day exhaust","61","Tier 2 Cert Gasoline",36.8
"107","Mini","MINI COOPER HARDTOP 4 DOOR","Car",134,"3","M","Manual","6","F",3000,3.42,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",37.4
"108","Mini","Mini Cooper S (3-doors)","Car",189,"4","SA","Semi-Automatic","6","F",3125,3.5,"3","HWFE","61","Tier 2 Cert Gasoline",46.4
"109","Mini","Mini Cooper S (3-doors)","Car",189,"4","M","Manual","6","F",3125,3.56,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",30.3
"110","Mini","Mini Cooper S (5-doors)","Car",189,"4","SA","Semi-Automatic","6","F",3250,3.5,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",33.6
"111","Mini","Mini Cooper S (5-doors)","Car",189,"4","M","Manual","6","F",3250,3.56,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.5
"112","Mini","Mini Cooper S Clubman","Car",189,"4","SA","Semi-Automatic","8","F",3625,3.2,"3","HWFE","61","Tier 2 Cert Gasoline",47.3
"113","Mini","Mini Cooper S Clubman","Car",189,"4","M","Manual","6","F",3500,3.6,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.3
"114","Mini","Mini Cooper S Clubman ALL4","Car",189,"4","M","Manual","6","F",3750,4.1,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",26.2
"115","Mini","Mini Cooper S Clubman ALL4","Car",189,"4","SA","Semi-Automatic","8","F",3750,3.2,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.4
"116","Mini","Mini Cooper S Clubman ALL4","Car",189,"4","M","Manual","6","F",3875,4.1,"3","HWFE","61","Tier 2 Cert Gasoline",43.8
"117","Mini","Mini Cooper S Convertible","Car",189,"4","SA","Semi-Automatic","6","F",3375,3.5,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",33.4
"118","Mini","Mini Cooper S Convertible","Car",189,"4","M","Manual","6","F",3250,3.6,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",26.9
"119","Mini","Mini Cooper S Countryman","Car",189,"4","SA","Semi-Automatic","8","F",3750,3.2,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",30.7
"120","Mini","Mini Cooper S Countryman ALL4","Car",189,"4","SA","Semi-Automatic","8","F",4000,3.2,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.4
"121","MINI","Mini Cooper SE Countryman ALL4","Car",134,"3","SA","Semi-Automatic","6","A",4250,3.94,"90","US06","61","Tier 2 Cert Gasoline",26.6
"122","MINI","Mini Cooper SE Countryman ALL4","Car",134,"3","SA","Semi-Automatic","6","A",4250,3.94,"11","Cold CO","27","Cold CO Premium (Tier 2)",26.5
"123","Mini","MINI JOHN COOPER WORKS CLUBMAN ALL4","Car",228,"4","SA","Semi-Automatic","8","F",3750,3.2,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",30
"124","Mini","Mini John Cooper Works Clubman All4","Car",228,"4","M","Manual","6","F",3750,4.06,"3","HWFE","61","Tier 2 Cert Gasoline",44.2
"125","Mini","MINI JOHN COOPER WORKS CONVERTIBLE","Car",228,"4","SA","Semi-Automatic","6","F",3375,3.5,"3","HWFE","61","Tier 2 Cert Gasoline",46.2
"126","Mini","MINI JOHN COOPER WORKS CONVERTIBLE","Car",228,"4","M","Manual","6","F",3375,3.82,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",27.6
"127","Mini","MINI John Cooper Works Hardtop","Car",228,"4","SA","Semi-Automatic","6","F",3125,3.5,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",32.7
"128","Mini","MINI John Cooper Works Hardtop","Car",228,"4","M","Manual","6","F",3125,3.82,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.9
"129","Fiat","Alfa 4c","Car",237,"4","AM","Automated Manual","6","R",2750,2.56,"11","Cold CO","26","Cold CO Regular (Tier 2)",27
"130","Fiat","Alfa 4c","Car",237,"4","AM","Automated Manual","6","R",2750,2.56,"95","SC03","61","Tier 2 Cert Gasoline",28.8
"131","Alfa Romeo","Giulia","Both",280,"4","A","Automatic","8","R",3875,3.15,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",30.4
"132","Alfa Romeo","Giulia","Car",503,"6","A","Automatic","8","R",4250,3.09,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",23.3
"133","Alfa Romeo","Giulia AWD","Both",280,"4","A","Automatic","8","R",4000,3.15,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",28.9
"134","Alfa Romeo","Stelvio AWD","Both",280,"4","A","Automatic","8","R",4250,3.73,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",27.8
"135","Chrysler","300 AWD","Car",292,"6","A","Automatic","8","4",4500,3.07,"31","Federal fuel 3-day exhaust","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)",16.8
"136","Chrysler","Pacifica","Truck",287,"6","A","Automatic","9","F",4750,1.56,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",24.3
"137","Chrysler","Pacifica","Truck",287,"6","A","Automatic","9","F",4750,1.56,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",23.9
"138","Chrysler","Pacifica Hybrid","Truck",287,"6","CVT","Continuously Variable","1","F",5250,3.59,"11","Cold CO","26","Cold CO Regular (Tier 2)",22.7
"139","Chrysler","Pacifica Hybrid","Truck",287,"6","CVT","Continuously Variable","1","F",5250,3.59,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",46.3
"140","Chrysler","Town & Country","Both",283,"6","A","Automatic","6","F",4750,2.06,"21","Federal fuel 2-day exhaust (w/can load)","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)",15.1
"141","Chrysler","Town & Country","Both",283,"6","A","Automatic","6","F",4750,2.06,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",21.4
"142","Dodge","Avenger","Both",283,"6","A","Automatic","6","F",3875,2.06,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",20.6
"143","Dodge","Challenger","Car",470,"8","M","Manual","6","R",4500,3.92,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",17.3
"144","Dodge","Challenger","Car",470,"8","A","Automatic","8","R",4500,3.09,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",18.6
"145","Dodge","Challenger","Car",372,"8","A","Automatic","8","R",4500,3.08,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",19.8
"146","Dodge","Challenger","Car",370,"8","M","Manual","6","R",4500,3.92,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",18.7
"147","Dodge","Challenger SRT8","Car",707,"8","M","Manual","6","R",4750,3.7,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",16
"148","Dodge","Challenger SRT8","Car",707,"8","M","Manual","6","R",4750,3.7,"11","Cold CO","26","Cold CO Regular (Tier 2)",13.7
"149","Dodge","Challenger SRT8","Car",707,"8","A","Automatic","8","R",4750,2.62,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",16.1
"150","Dodge","Challenger SRT8","Car",707,"8","A","Automatic","8","R",4750,2.62,"95","SC03","61","Tier 2 Cert Gasoline",14.5
"151","Dodge","Challenger SRT8","Car",707,"8","A","Automatic","8","R",4750,2.62,"11","Cold CO","26","Cold CO Regular (Tier 2)",14.4
"152","Dodge","Charger","Car",292,"6","A","Automatic","8","R",4250,2.65,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",23.9
"153","Dodge","Charger","Car",292,"6","A","Automatic","8","R",4250,2.65,"3","HWFE","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)",31.7
"154","Dodge","Charger AWD","Car",292,"6","A","Automatic","8","A",4500,3.07,"3","HWFE","61","Tier 2 Cert Gasoline",38.1
"155","Dodge","Durango AWD","Truck",360,"8","A","Automatic","8","R",5500,3.09,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",17.3
"156","Dodge","Durango RWD","Truck",360,"8","A","Automatic","8","R",5500,3.09,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",17.4
"157","Dodge","Durango SRT AWD","Truck",470,"8","A","Automatic","8","R",6000,3.7,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",15.7
"158","Dodge","Journey","Both",283,"6","A","Automatic","6","F",4500,2.06,"21","Federal fuel 2-day exhaust (w/can load)","38","E85 (85% Ethanol 15% EPA Unleaded Gasoline)",15.3
"160","Fiat","124 Spider","Both",160,"4","M","Manual","6","R",2750,3.45,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",34.1
"161","Fiat","124 Spider","Both",160,"4","A","Automatic","6","R",2750,3.58,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",32.8
"162","Fiat","500L","Both",160,"4","A","Automatic","6","F",3500,2.47,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",28.1
"163","Jeep","Cherokee","Truck",184,"4","A","Automatic","9","A",4250,1.79,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",26.2
